,zh_CN,en,ja,zh_HK
重劈,重劈,Heavy Slash,重斬,重劈
造成%d%%物理伤害，附加%d层流血，目标每5层流血使你获得%d%%物理攻击的护盾,造成%d%%物理伤害，附加%d层流血，目标每5层流血使你获得%d%%物理攻击的护盾,"Deals %d%% Physical DMG, inflicting %d stack(s) of Hemorrhaged; for every 5 stacks of Hemorrhaged the target has, gain a shield with strength equal to %d%% Physical Attack",%d%%の物理ダメージを与え、%d層の出血を付与する。目標に出血が5層ごとに物理攻撃力%d%%分の盾を獲得する,造成%d%%物理傷害，附加%d層流血，目標每5層流血使你獲得%d%%物理攻擊的護盾
锋刃追击,锋刃追击,Deep Cut,鋭刃の追撃,鋒刃追擊
施放技能时，下次普攻提高%d%%的伤害，附加%d层流血,施放技能时，下次普攻提高%d%%的伤害，附加%d层流血,"After this skill is cast, the next Normal Attack deals an extra %d%% DMG and inflicts %d stack(s) of Hemorrhaged",スキル使用時、次の通常攻撃のダメージが%d%%増加し、敵に%d層の出血を付与する。,施放技能時，下次普攻提高%d%%的傷害，附加%d層流血
霸王斩,霸王斩,Throatcutter,覇王斬,霸王斬
"对目标1格造成%d%%物理伤害,每次攻击减少20%%冷却,附加%d层流血","对目标1格造成%d%%物理伤害,每次攻击减少20%%冷却,附加%d层流血","Deals %d%% Physical DMG to the target tile and within the radius of 1 tile, each Normal Attack reducing the Skill CD by 20%% and inflicting %d stack(s) of Hemorrhaged",目標1マス範囲内に%d%%の物理ダメージを与える。攻撃する度に20%%のCDを短縮し、%d層の出血を付与する。,"對目標1格造成%d%%物理傷害,每次攻擊減少20%%冷卻,附加%d層流血"
伤口撕裂,伤口撕裂,To the Bone,傷口の裂開,傷口撕裂
对敌人附加的流血达到%d层时，消除层数，造成%d%%的最大生命值的真实伤害,对敌人附加的流血达到%d层时，消除层数，造成%d%%的最大生命值的真实伤害,"At %d stacks of Hemorrhaged inflicted on an enemy, resets the stack number to 0 and deals True DMG that equals %d%% of the target's Max HP to them",敵に付与した出血が%d層に達した時、層数をリセットし、相手に%d%%最大HP分の固定ダメージを与える,對敵人附加的流血達到%d層時，消除層數，造成%d%%的最大生命值的真實傷害
大杀四方,大杀四方,Decimate,四方滅殺,大殺四方
对周围1格造成%d%%物理伤害，目标每层流血提高%d%%的伤害，并回复%d%%该伤害的生命值,对周围1格造成%d%%物理伤害，目标每层流血提高%d%%的伤害，并回复%d%%该伤害的生命值,"Deals %d%% Physical DMG to enemies within a radius of 1 tile around; each stack of Hemorrhaged on the target increases the DMG by %d%%, and the unit's HP will be restored equals %d%% of the DMG dealt",周囲1マスに対し%d%%の物理ダメージを与える。目標にかけた出血が１層ごとにこのダメージが%d%%増加し、与ダメージの%d%%分のHPを回復する。,對周圍1格造成%d%%物理傷害，目標每層流血提高%d%%的傷害，並回復%d%%該傷害的生命值
