,zh_CN,en,ja,zh_HK
横扫,横扫,Swipe,横薙ぎ,橫掃
对周围1格造成%d%%物理伤害，附加%d层流血,对周围1格造成%d%%物理伤害，附加%d层流血,"Deals %d%% Physical DMG to enemies within a radius of 1 tile around, inflicting %d stack(s) of Hemorrhaged",周囲1マスに%d%%の物理ダメージを与え、%d層の出血を付与する。,對周圍1格造成%d%%物理傷害，附加%d層流血
碎星一击,碎星一击,Starbreaker,星砕けの一撃,碎星一擊
对目标1格造成%d%%的物理伤害，附加10%%目标最大生命值的物理伤害，%d层流血,对目标1格造成%d%%的物理伤害，附加10%%目标最大生命值的物理伤害，%d层流血,"Deals %d%% Physical DMG to the target tile and extra Physical DMG that equals 10%% of the target's Max HP, inflicting %d stack(s) of Hemorrhaged",攻撃対象1マス範囲内に対し%d%%の物理ダメージを与え、対象の最大HP10%%の物理ダメージを追加で与え、%d層の出血を付与する。,對目標1格造成%d%%的物理傷害，附加10%%目標最大生命值的物理傷害，%d層流血
分裂,分裂,Division,分裂,分裂
每承受%d%%的生命值的伤害分裂一个自身，分身减少%d%% 的增伤和减伤，最多分裂%d次,每承受%d%%的生命值的伤害分裂一个自身，分身减少%d%% 的增伤和减伤，最多分裂%d次,"For every time when taking damage equals to %d%% of the Max HP, one splits itself, and the avatar has %d%% less DMG Boost and DMG Reduction, up to %d time(s)",体力の%d%%が受けるダメージごとに、1つが分裂し、アバターは%d%%のダメージの増減を最大%d倍まで減らします,每承受%d%%的生命值的傷害分裂一個自身，分身減少%d%% 的增傷和減傷，最多分裂%d次
鲁莽挥击,鲁莽挥击,Reckless Strike,無謀な連撃,魯莽揮擊
造成3次%d%%的物理伤害，暴击率能够提高挥击次数,造成3次%d%%的物理伤害，暴击率能够提高挥击次数,Deals %d%% Physical DMG three times; a higher Crit Rate allows more strikes,%d%%の物理ダメージを3回与える。会心率により、攻撃回数が増加する,造成3次%d%%的物理傷害，暴擊率能夠提高揮擊次數
怒放挥击,怒放挥击,Bloom of Rage,怒涛の一撃,怒放揮擊
对目标1格敌人造成%d%%的伤害，每损失10%%的生命值伤害提高10%%,对目标1格敌人造成%d%%的伤害，每损失10%%的生命值伤害提高10%%,"Deals %d%% DMG to the target tile, for every 10%% HP lost, the DMG increases by 10%%",攻撃対象1マス範囲内の敵に対し%d%%のダメージを与え、HPが10%%減少する度にダメージが10%%増加する。,對目標1格敵人造成%d%%的傷害，每損失10%%的生命值傷害提高10%%
