,zh_CN,en,ja,zh_HK
铁布衫,铁布衫,No Provocation,鉄の体,鐵布衫
"每承受15%%最大生命值的伤害,获得 %d层 狂怒，抵御，急速，超然","每承受15%%最大生命值的伤害,获得 %d层 狂怒，抵御，急速，超然","For every DMG taken that equals 15%% of Max HP, gains %d stack(s) of Berserked, Armored, Hasted and Transcendent",最大HPの15%%のダメージを受ける度に、%d層の激怒、守護、急速、超然を獲得する,"每承受15%%最大生命值的傷害,獲得 %d層 狂怒，抵禦，急速，超然"
金钟罩,金钟罩,Shield Up,鐘の守,金鐘罩
施放技能时，获得%d%%物理攻击的护盾，身上每5层增益状态，使该值提高%d%%,施放技能时，获得%d%%物理攻击的护盾，身上每5层增益状态，使该值提高%d%%,"When casting a skill, gains a shield with its strength equal to %d%% Physical Attack; the strength increases by %d%% for every 5 buffs gained",スキル使用時、物理攻撃力 %d%%分の盾を獲得する、自身のバフが5層毎にこの盾値を%d%%増加する,施放技能時，獲得%d%%物理攻擊的護盾，身上每5層增益狀態，使該值提高%d%%
翔龙摆尾,翔龙摆尾,Swipe Kick,龍の舞,翔龍擺尾
对目标1格敌人造成%d%%的物理伤害，身上每5层增益状态，使该伤害提高%d%%,对目标1格敌人造成%d%%的物理伤害，身上每5层增益状态，使该伤害提高%d%%,Deals %d%% Physical DMG to the target and within the radius of 1 tile around; increase the damage by %d%% for every 5 stacks of buffs this unit has,目標と周囲1マスの敵に%d%%の物理ダメージを与える、自身のバフが5層毎にこのダメージを%d%%増加する,對目標1格敵人造成%d%%的物理傷害，身上每5層增益狀態，使該傷害提高%d%%
化骨掌,化骨掌,Bonecracker,掌撃破,化骨掌
普攻附加%d%%目标最大生命值的物理伤害，身上每5层增益状态，使该伤害提高%d%%,普攻附加%d%%目标最大生命值的物理伤害，身上每5层增益状态，使该伤害提高%d%%,Normal Attack deals extra Physical DMG that equals %d%% of the target's Max HP; the DMG increases by %d%% for every 5 stacks of buffs this unit has,通常攻撃に目標の最大HP%d%%分の物理ダメージを追加する。目標のバフ5層毎に%d%%ずつダメージが増加する,普攻附加%d%%目標最大生命值的物理傷害，身上每5層增益狀態，使該傷害提高%d%%
气聚丹田,气聚丹田,Concentration,内丹,氣聚丹田
净化自身的负面状态，并获得%d层 狂怒，抵御，急速，超然,净化自身的负面状态，并获得%d层 狂怒，抵御，急速，超然,"Dispels all debuffs on self and gains %d stack(s) of Berserked, Armored, Hasted, Transcendent",自身のデバフ状態を解除し、%d層の激怒、守護、急速、超然を獲得する,凈化自身的負面狀態，並獲得%d層 狂怒，抵禦，急速，超然
,,,,
高速射击,高速射击,Fast Shooting,高速射撃,高速射擊
每%d次普通攻击攻速提高%d%%，持续到战斗结束,每%d次普通攻击攻速提高%d%%，持续到战斗结束,"For every %d Normal Attack, the Attack Speed increases by %d%%, lasts until the end of the battle",通常攻撃%d回ごとに攻撃速度を%d%%増加する、戦闘終了まで継続,每%d次普通攻擊攻速提高%d%%，持續到戰鬥結束
连发弩,连发弩,Crossbow,連弩,連發弩
快速射出%d发箭矢，每发造成%d%%的真实伤害，身上每%d层急速，额外射出1发,快速射出%d发箭矢，每发造成%d%%的真实伤害，身上每%d层急速，额外射出1发,"Fires %d arrows in one go, each dealing %d%% True DMG; for every %d stack(s) of Hasted gained, fires an extra arrow",素早く矢を%d発発射し、毎発%d%%の固定ダメージを与える、自身の急速が%d層毎に追加で1発発射する,快速射出%d發箭矢，每發造成%d%%的真實傷害，身上每%d層急速，額外射出1發
流线矢,流线矢,Curve Arrow,流星の矢,流線矢
普通攻击%d%%的几率额造成%d%%的真实伤害，且获得%d层急速,普通攻击%d%%的几率额造成%d%%的真实伤害，且获得%d层急速,Normal Attack has a %d%% chance to deal %d%% True DMG and grants %d stack(s) of Hasted,通常攻撃に%d%%の確率で%d%%の固定ダメージを追加し、%d層の急速を獲得する,普通攻擊%d%%的幾率額造成%d%%的真實傷害，且獲得%d層急速
驽精通,驽精通,Crossbow Mastery,弩精通,駑精通
获得%d层急速，无施法动作，冷却速度额外收益于攻击速度,获得%d层急速，无施法动作，冷却速度额外收益于攻击速度,Gains %d stack(s) of Hasted; This skill needs no casting and its CD Speed also benefits from Attack Speed.,%d層の急速を獲得、瞬時発動、クールタイムが追加で攻撃速度を基準に短縮される,獲得%d層急速，無施法動作，冷卻速度額外收益於攻擊速度
